
X,ID,task,a,b,c,d,rating,rawrating,paris_v,dfh_v,dp_v,paris_1v,dfh_1v,dp_1v,paris_01v,dfh_01v,dp_01v,paris_ev,dfh_ev,dp_ev
1,1,Q1,21,9,0,30,0,80.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
2,2,Q1,21,9,0,30,0,73.33333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
3,3,Q1,21,9,0,30,0,85,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
4,4,Q1,21,9,0,30,0,55.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
5,5,Q1,21,9,0,30,0,64.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
6,6,Q1,21,9,0,30,0,52.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
7,7,Q1,21,9,0,30,0,60.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
8,8,Q1,21,9,0,30,0,61.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
9,9,Q1,21,9,0,30,0,80.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
10,10,Q1,21,9,0,30,0,70,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
11,11,Q1,21,9,0,30,0,63.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
12,12,Q1,21,9,0,30,0,62.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
13,13,Q1,21,9,0,30,0,100,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
14,14,Q1,21,9,0,30,0,57.30769231,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
15,15,Q1,21,9,0,30,0,76.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
16,16,Q1,21,9,0,30,0,85,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
17,17,Q1,21,9,0,30,0,34,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
18,18,Q1,21,9,0,30,0,35,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
19,19,Q1,21,9,0,30,0,87.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
20,20,Q1,21,9,0,30,0,74.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
21,21,Q1,21,9,0,30,0,80.33333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
22,22,Q1,21,9,0,30,0,63.33333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
23,23,Q1,21,9,0,30,0,89.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
24,24,Q1,21,9,0,30,0,66.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
25,25,Q1,21,9,0,30,0,51.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
26,26,Q1,21,9,0,30,0,75.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
27,27,Q1,21,9,0,30,0,70,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
28,28,Q1,21,9,0,30,0,44.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
29,29,Q1,21,9,0,30,0,69.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
30,30,Q1,21,9,0,30,0,62.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
31,31,Q1,21,9,0,30,0,77.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
32,32,Q1,21,9,0,30,0,74.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
33,33,Q1,21,9,0,30,0,66.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
34,34,Q1,21,9,0,30,0,77.69230769,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
35,35,Q1,21,9,0,30,0,67.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
36,36,Q1,21,9,0,30,0,67.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
37,37,Q1,21,9,0,30,0,72.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
38,38,Q1,21,9,0,30,0,60,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
39,39,Q1,21,9,0,30,0,77.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
40,40,Q1,21,9,0,30,0,60.5,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
41,41,Q1,21,9,0,30,0,58.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
42,42,Q1,21,9,0,30,0,59.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
43,43,Q1,21,9,0,30,0,57.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
44,44,Q1,21,9,0,30,0,73.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
45,45,Q1,21,9,0,30,0,71.83333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
46,46,Q1,21,9,0,30,0,78.33333333,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
47,47,Q1,21,9,0,30,0,29.16666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
48,48,Q1,21,9,0,30,0,59.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
49,49,Q1,21,9,0,30,0,61.66666667,0.7,0.83666,0.7,0.666667,0.810931,0.65625,0.69637,0.833894,0.695364,0.7,0.83666,0.7
