user_id,animal,est_i,estimation
75924947,rabbit,0,95
75924947,pigeon,0,68
75924947,pigeon,0,92
12146498,mouse,0,74
12146498,rabbit,0,100
12146498,pigeon,0,33
97871381,mouse,0,100
97871381,rabbit,0,80
97871381,pigeon,0,100
82188058,mouse,0,94
82188058,pigeon,0,100
82188058,rabbit,0,95
21857584,rabbit,0,96
21857584,mouse,0,59
21857584,pigeon,0,95
79176133,pigeon,0,92
79176133,rabbit,0,73
79176133,mouse,0,95
34547121,mouse,0,82
34547121,rabbit,0,80
34547121,pigeon,0,44
06232820,pigeon,1,61
06232820,pigeon,2,99
06232820,pigeon,3,95
06232820,pigeon,4,99
06232820,pigeon,5,96
06232820,pigeon,0,97
06232820,rabbit,1,61
06232820,rabbit,2,62
06232820,rabbit,3,67
06232820,rabbit,4,96
06232820,rabbit,5,54
06232820,rabbit,0,80
06232820,mouse,1,62
06232820,mouse,2,96
06232820,mouse,3,36
06232820,mouse,4,65
06232820,mouse,5,71
06232820,mouse,0,72
