user_id,animal,est_i,estimation
48816677,rabbit,1,71
48816677,rabbit,2,62
48816677,rabbit,3,64
48816677,rabbit,4,66
48816677,rabbit,5,68
48816677,rabbit,0,60
48816677,mouse,1,67
48816677,mouse,2,71
48816677,mouse,3,71
48816677,mouse,4,71
48816677,mouse,5,66
48816677,mouse,0,55
48816677,pigeon,1,51
48816677,pigeon,2,55
48816677,pigeon,3,58
48816677,pigeon,4,59
48816677,pigeon,5,60
48816677,pigeon,0,83
51449667,rabbit,0,63
51449667,rabbit,1,43
51449667,rabbit,2,66
51449667,rabbit,3,66
51449667,rabbit,4,59
51449667,rabbit,5,55
51449667,mouse,0,61
51449667,mouse,1,56
51449667,mouse,2,61
51449667,mouse,3,59
51449667,mouse,4,50
51449667,mouse,5,71
51449667,pigeon,0,52
51449667,pigeon,1,61
51449667,pigeon,2,61
51449667,pigeon,3,61
51449667,pigeon,4,63
51449667,pigeon,5,64
