user_id,animal,est_i,estimation
43999585,rabbit,1,62
43999585,rabbit,2,60
43999585,rabbit,3,53
43999585,rabbit,4,63
43999585,rabbit,5,62
43999585,rabbit,0,69
43999585,mouse,1,48
43999585,mouse,2,40
43999585,mouse,3,47
43999585,mouse,4,55
43999585,mouse,5,30
43999585,mouse,0,58
43999585,pigeon,1,50
43999585,pigeon,2,51
43999585,pigeon,3,50
43999585,pigeon,4,56
43999585,pigeon,5,58
43999585,pigeon,0,72
47694107,pigeon,1,50
47694107,pigeon,2,50
47694107,pigeon,3,42
47694107,pigeon,4,42
47694107,pigeon,5,31
47694107,pigeon,0,36
47694107,rabbit,1,26
47694107,rabbit,2,24
47694107,rabbit,3,27
47694107,rabbit,4,25
47694107,rabbit,5,24
47694107,rabbit,0,32
47694107,mouse,1,33
47694107,mouse,2,26
47694107,mouse,3,30
47694107,mouse,4,36
47694107,mouse,5,23
47694107,mouse,0,36
